[DEBUGE]|[2024:4:3:13:17] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:13:17] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:13:17] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:13:18] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:13:18] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:13:18] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:13:18] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:13:18] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:13:18] METHOD=GET,URI=http://api.ipify.org/?format=json,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:13:18] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:13:18] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:13:19] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:13:19] METHOD=CONNECT,URI=www.shadowserver.org:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:13:19] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:13:19] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:13:21] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:13:21] METHOD=GET,URI=/,VERSION=HTTP/1.0
[DEBUGE]|[2024:4:3:13:21] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:13:21] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:13:25] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:13:25] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:13:25] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:13:25] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:13:25] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:13:25] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:13:25] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:13:25] METHOD=GET,URI=/,VERSION=HTTP/1.1
